Subtype FreqBin CodonPos NumVariants PercentVariants
seasonalH1N1 -1.4 3 16 0.727272727272727
seasonalH1N1 -1.2 1 2 0.166666666666667
seasonalH1N1 -1.2 3 10 0.833333333333333
seasonalH1N1 -1 1 1 0.0769230769230769
seasonalH1N1 -1 2 1 0.0769230769230769
seasonalH1N1 -1 3 11 0.846153846153846
seasonalH1N1 -0.8 1 1 0.166666666666667
seasonalH1N1 -0.8 2 1 0.166666666666667
seasonalH1N1 -0.8 3 4 0.666666666666667
seasonalH1N1 -0.6 1 4 0.166666666666667
seasonalH1N1 -0.6 2 3 0.125
seasonalH1N1 -0.6 3 17 0.708333333333333
seasonalH1N1 -0.4 1 2 0.105263157894737
seasonalH1N1 -0.4 2 3 0.157894736842105
seasonalH1N1 -0.4 3 14 0.736842105263158
